Time,Temp_50_cm
2022-02-19 09:00:00,21.19
2022-02-19 10:00:00,21.17
2022-02-19 11:00:00,21.17
2022-02-19 12:00:00,21.16
2022-02-19 13:00:00,21.14
2022-02-19 14:00:00,21.13
2022-02-19 15:00:00,21.12
2022-02-19 16:00:00,21.11
2022-02-19 17:00:00,21.09
2022-02-19 18:00:00,21.1
2022-02-19 19:00:00,21.1
2022-02-19 20:00:00,21.1
2022-02-19 21:00:00,21.1
2022-02-19 22:00:00,21.1
2022-02-19 23:00:00,21.1
2022-02-20 00:00:00,21.1
2022-02-20 01:00:00,21.1
2022-02-20 02:00:00,21.09
2022-02-20 03:00:00,21.09
2022-02-20 04:00:00,21.07
2022-02-20 05:00:00,21.05
2022-02-20 06:00:00,21.02
2022-02-20 07:00:00,20.96
2022-02-20 08:00:00,20.91
2022-02-20 09:00:00,20.85
2022-02-20 10:00:00,20.79
2022-02-20 11:00:00,20.74
2022-02-20 12:00:00,20.69
2022-02-20 13:00:00,20.63
2022-02-20 14:00:00,20.58
2022-02-20 15:00:00,20.52
2022-02-20 16:00:00,20.47
2022-02-20 17:00:00,20.42
2022-02-20 18:00:00,20.37
2022-02-20 19:00:00,20.32
2022-02-20 20:00:00,20.27
2022-02-20 21:00:00,20.22
2022-02-20 22:00:00,20.17
2022-02-20 23:00:00,20.12
2022-02-21 00:00:00,20.06
2022-02-21 01:00:00,20.01
2022-02-21 02:00:00,19.97
2022-02-21 03:00:00,19.91
2022-02-21 04:00:00,19.86
2022-02-21 05:00:00,19.81
2022-02-21 06:00:00,19.76
2022-02-21 07:00:00,19.71
2022-02-21 08:00:00,19.66
2022-02-21 09:00:00,19.61
2022-02-21 10:00:00,19.56
2022-02-21 11:00:00,19.51
2022-02-21 12:00:00,19.46
2022-02-21 13:00:00,19.42
2022-02-21 14:00:00,19.37
2022-02-21 15:00:00,19.34
2022-02-21 16:00:00,19.3
2022-02-21 17:00:00,19.26
2022-02-21 18:00:00,19.23
2022-02-21 19:00:00,19.19
2022-02-21 20:00:00,19.17
2022-02-21 21:00:00,19.14
2022-02-21 22:00:00,19.12
2022-02-21 23:00:00,19.1
2022-02-22 00:00:00,19.07
2022-02-22 01:00:00,19.05
2022-02-22 02:00:00,19.04
2022-02-22 03:00:00,19.01
2022-02-22 04:00:00,19.0
2022-02-22 05:00:00,18.98
2022-02-22 06:00:00,18.96
2022-02-22 07:00:00,18.95
2022-02-22 08:00:00,18.93
2022-02-22 09:00:00,18.91
2022-02-22 10:00:00,18.89
2022-02-22 11:00:00,18.89
2022-02-22 12:00:00,18.87
2022-02-22 13:00:00,18.81
2022-02-22 14:00:00,18.79
2022-02-22 15:00:00,18.76
2022-02-22 16:00:00,18.75
2022-02-22 17:00:00,18.73
2022-02-22 18:00:00,18.72
2022-02-22 19:00:00,18.73
2022-02-22 20:00:00,18.74
2022-02-22 21:00:00,18.75
2022-02-22 22:00:00,18.76
2022-02-22 23:00:00,18.78
2022-02-23 00:00:00,18.8
2022-02-23 01:00:00,18.82
2022-02-23 02:00:00,18.83
2022-02-23 03:00:00,18.86
2022-02-23 04:00:00,18.87
2022-02-23 05:00:00,18.9
2022-02-23 06:00:00,18.91
2022-02-23 07:00:00,18.92
2022-02-23 08:00:00,18.93
2022-02-23 09:00:00,18.95
2022-02-23 10:00:00,18.95
2022-02-23 11:00:00,18.96
2022-02-23 12:00:00,18.96
2022-02-23 13:00:00,18.94
2022-02-23 14:00:00,18.83
2022-02-23 15:00:00,18.67
2022-02-23 16:00:00,18.59
2022-02-23 17:00:00,18.55
2022-02-23 18:00:00,18.53
2022-02-23 19:00:00,18.52
2022-02-23 20:00:00,18.51
2022-02-23 21:00:00,18.52
2022-02-23 22:00:00,18.52
2022-02-23 23:00:00,18.53
2022-02-24 00:00:00,18.54
2022-02-24 01:00:00,18.55
2022-02-24 02:00:00,18.57
2022-02-24 03:00:00,18.57
2022-02-24 04:00:00,18.58
2022-02-24 05:00:00,18.59
2022-02-24 06:00:00,18.59
2022-02-24 07:00:00,18.59
2022-02-24 08:00:00,18.6
2022-02-24 09:00:00,18.59
2022-02-24 10:00:00,18.58
2022-02-24 11:00:00,18.57
2022-02-24 12:00:00,18.56
2022-02-24 13:00:00,18.54
2022-02-24 14:00:00,18.53
2022-02-24 15:00:00,18.52
2022-02-24 16:00:00,18.52
2022-02-24 17:00:00,18.52
2022-02-24 18:00:00,18.53
2022-02-24 19:00:00,18.54
2022-02-24 20:00:00,18.57
2022-02-24 21:00:00,18.58
2022-02-24 22:00:00,18.61
2022-02-24 23:00:00,18.63
2022-02-25 00:00:00,18.66
2022-02-25 01:00:00,18.68
2022-02-25 02:00:00,18.71
2022-02-25 03:00:00,18.73
2022-02-25 04:00:00,18.75
2022-02-25 05:00:00,18.77
2022-02-25 06:00:00,18.79
2022-02-25 07:00:00,18.81
2022-02-25 08:00:00,18.83
2022-02-25 09:00:00,18.81
2022-02-25 10:00:00,18.81
2022-02-25 11:00:00,18.81
2022-02-25 12:00:00,18.8
2022-02-25 13:00:00,18.79
2022-02-25 14:00:00,18.79
2022-02-25 15:00:00,18.8
2022-02-25 16:00:00,18.8
2022-02-25 17:00:00,18.81
2022-02-25 18:00:00,18.84
2022-02-25 19:00:00,18.87
2022-02-25 20:00:00,18.9
2022-02-25 21:00:00,18.94
2022-02-25 22:00:00,18.98
2022-02-25 23:00:00,19.03
2022-02-26 00:00:00,19.07
2022-02-26 01:00:00,19.12
2022-02-26 02:00:00,19.17
2022-02-26 03:00:00,19.21
2022-02-26 04:00:00,19.24
2022-02-26 05:00:00,19.29
2022-02-26 06:00:00,19.31
2022-02-26 07:00:00,19.34
2022-02-26 08:00:00,19.36
2022-02-26 09:00:00,19.37
2022-02-26 10:00:00,19.38
2022-02-26 11:00:00,19.38
2022-02-26 12:00:00,19.39
2022-02-26 13:00:00,19.4
2022-02-26 14:00:00,19.41
2022-02-26 15:00:00,19.4
2022-02-26 16:00:00,19.41
2022-02-26 17:00:00,19.43
2022-02-26 18:00:00,19.46
2022-02-26 19:00:00,19.49
2022-02-26 20:00:00,19.53
2022-02-26 21:00:00,19.57
2022-02-26 22:00:00,19.62
2022-02-26 23:00:00,19.66
2022-02-27 00:00:00,19.71
2022-02-27 01:00:00,19.76
2022-02-27 02:00:00,19.8
2022-02-27 03:00:00,19.85
2022-02-27 04:00:00,19.89
2022-02-27 05:00:00,19.93
2022-02-27 06:00:00,19.95
2022-02-27 07:00:00,19.97
2022-02-27 08:00:00,19.98
2022-02-27 09:00:00,19.98
2022-02-27 10:00:00,19.98
2022-02-27 11:00:00,19.97
2022-02-27 12:00:00,19.97
2022-02-27 13:00:00,19.95
2022-02-27 14:00:00,19.93
2022-02-27 15:00:00,19.93
2022-02-27 16:00:00,19.93
2022-02-27 17:00:00,19.93
2022-02-27 18:00:00,19.94
2022-02-27 19:00:00,19.95
2022-02-27 20:00:00,19.98
2022-02-27 21:00:00,20.01
2022-02-27 22:00:00,20.04
2022-02-27 23:00:00,20.09
2022-02-28 00:00:00,20.12
2022-02-28 01:00:00,20.16
2022-02-28 02:00:00,20.19
2022-02-28 03:00:00,20.23
2022-02-28 04:00:00,20.25
2022-02-28 05:00:00,20.28
2022-02-28 06:00:00,20.3
2022-02-28 07:00:00,20.31
2022-02-28 08:00:00,20.31
2022-02-28 09:00:00,20.3
2022-02-28 10:00:00,20.29
2022-02-28 11:00:00,20.28
2022-02-28 12:00:00,20.26
2022-02-28 13:00:00,20.25
2022-02-28 14:00:00,20.23
2022-02-28 15:00:00,20.22
2022-02-28 16:00:00,20.22
2022-02-28 17:00:00,20.23
2022-02-28 18:00:00,20.23
2022-02-28 19:00:00,20.24
2022-02-28 20:00:00,20.27
2022-02-28 21:00:00,20.3
2022-02-28 22:00:00,20.33
2022-02-28 23:00:00,20.37
2022-03-01 00:00:00,20.41
2022-03-01 01:00:00,20.46
2022-03-01 02:00:00,20.5
2022-03-01 03:00:00,20.52
2022-03-01 04:00:00,20.57
2022-03-01 05:00:00,20.59
2022-03-01 06:00:00,20.62
2022-03-01 07:00:00,20.63
2022-03-01 08:00:00,20.63
2022-03-01 09:00:00,20.63
2022-03-01 10:00:00,20.61
2022-03-01 11:00:00,20.6
2022-03-01 12:00:00,20.59
2022-03-01 13:00:00,20.58
2022-03-01 14:00:00,20.57
2022-03-01 15:00:00,20.56
2022-03-01 16:00:00,20.56
2022-03-01 17:00:00,20.57
2022-03-01 18:00:00,20.58
2022-03-01 19:00:00,20.6
2022-03-01 20:00:00,20.62
2022-03-01 21:00:00,20.65
2022-03-01 22:00:00,20.7
2022-03-01 23:00:00,20.73
2022-03-02 00:00:00,20.77
2022-03-02 01:00:00,20.82
2022-03-02 02:00:00,20.86
2022-03-02 03:00:00,20.9
2022-03-02 04:00:00,20.94
2022-03-02 05:00:00,20.97
2022-03-02 06:00:00,21.0
2022-03-02 07:00:00,21.04
2022-03-02 08:00:00,21.04
2022-03-02 09:00:00,21.06
2022-03-02 10:00:00,21.06
2022-03-02 11:00:00,21.07
2022-03-02 12:00:00,21.08
2022-03-02 13:00:00,21.09
2022-03-02 14:00:00,21.09
2022-03-02 15:00:00,21.09
2022-03-02 16:00:00,21.11
2022-03-02 17:00:00,21.12
2022-03-02 18:00:00,21.14
2022-03-02 19:00:00,21.16
2022-03-02 20:00:00,21.19
2022-03-02 21:00:00,21.23
2022-03-02 22:00:00,21.26
2022-03-02 23:00:00,21.3
2022-03-03 00:00:00,21.34
2022-03-03 01:00:00,21.38
2022-03-03 02:00:00,21.42
2022-03-03 03:00:00,21.46
2022-03-03 04:00:00,21.48
2022-03-03 05:00:00,21.52
2022-03-03 06:00:00,21.53
2022-03-03 07:00:00,21.55
2022-03-03 08:00:00,21.55
2022-03-03 09:00:00,21.56
2022-03-03 10:00:00,21.55
2022-03-03 11:00:00,21.55
2022-03-03 12:00:00,21.53
2022-03-03 13:00:00,21.52
2022-03-03 14:00:00,21.52
2022-03-03 15:00:00,21.53
2022-03-03 16:00:00,21.54
2022-03-03 17:00:00,21.53
2022-03-03 18:00:00,21.54
2022-03-03 19:00:00,21.55
2022-03-03 20:00:00,21.58
2022-03-03 21:00:00,21.6
2022-03-03 22:00:00,21.64
2022-03-03 23:00:00,21.68
2022-03-04 00:00:00,21.7
2022-03-04 01:00:00,21.74
2022-03-04 02:00:00,21.77
2022-03-04 03:00:00,21.8
2022-03-04 04:00:00,21.82
2022-03-04 05:00:00,21.84
2022-03-04 06:00:00,21.85
2022-03-04 07:00:00,21.87
2022-03-04 08:00:00,21.86
2022-03-04 09:00:00,21.86
2022-03-04 10:00:00,21.85
2022-03-04 11:00:00,21.84
2022-03-04 12:00:00,21.84
2022-03-04 13:00:00,21.82
2022-03-04 14:00:00,21.81
2022-03-04 15:00:00,21.8
2022-03-04 16:00:00,21.81
2022-03-04 17:00:00,21.81
2022-03-04 18:00:00,21.82
2022-03-04 19:00:00,21.83
2022-03-04 20:00:00,21.85
2022-03-04 21:00:00,21.87
2022-03-04 22:00:00,21.9
2022-03-04 23:00:00,21.92
2022-03-05 00:00:00,21.95
2022-03-05 01:00:00,21.99
2022-03-05 02:00:00,22.02
2022-03-05 03:00:00,22.04
2022-03-05 04:00:00,22.06
2022-03-05 05:00:00,22.09
2022-03-05 06:00:00,22.09
2022-03-05 07:00:00,22.1
2022-03-05 08:00:00,22.08
2022-03-05 09:00:00,22.08
2022-03-05 10:00:00,22.06
2022-03-05 11:00:00,22.04
2022-03-05 12:00:00,22.02
2022-03-05 13:00:00,22.01
2022-03-05 14:00:00,22.0
2022-03-05 15:00:00,21.98
2022-03-05 16:00:00,21.97
2022-03-05 17:00:00,21.97
2022-03-05 18:00:00,21.97
2022-03-05 19:00:00,21.97
2022-03-05 20:00:00,21.97
2022-03-05 21:00:00,22.0
2022-03-05 22:00:00,22.02
2022-03-05 23:00:00,22.04
2022-03-06 00:00:00,22.07
