Time,SWC_30_cm
2022-02-21 00:00:00,0.2485
2022-02-21 01:00:00,0.2483
2022-02-21 02:00:00,0.248
2022-02-21 03:00:00,0.2475
2022-02-21 04:00:00,0.2477
2022-02-21 05:00:00,0.2485
2022-02-21 06:00:00,0.2487
2022-02-21 07:00:00,0.249
2022-02-21 08:00:00,0.249
2022-02-21 09:00:00,0.2489
2022-02-21 10:00:00,0.2486
2022-02-21 11:00:00,0.2495
2022-02-21 12:00:00,0.2496
2022-02-21 13:00:00,0.2493
2022-02-21 14:00:00,0.2491
2022-02-21 15:00:00,0.2492
2022-02-21 16:00:00,0.2493
2022-02-21 17:00:00,0.25
2022-02-21 18:00:00,0.2515
2022-02-21 19:00:00,0.2533
2022-02-21 20:00:00,0.2559
2022-02-21 21:00:00,0.2596
2022-02-21 22:00:00,0.2623
2022-02-21 23:00:00,0.2631
2022-02-22 00:00:00,0.2646
2022-02-22 01:00:00,0.2658
2022-02-22 02:00:00,0.2664
2022-02-22 03:00:00,0.2673
2022-02-22 04:00:00,0.2685
2022-02-22 05:00:00,0.2693
2022-02-22 06:00:00,0.2742
2022-02-22 07:00:00,0.2755
2022-02-22 08:00:00,0.2745
2022-02-22 09:00:00,0.273
2022-02-22 10:00:00,0.2727
2022-02-22 11:00:00,0.2957
2022-02-22 12:00:00,0.2891
2022-02-22 13:00:00,0.2844
2022-02-22 14:00:00,0.2825
2022-02-22 15:00:00,0.2799
2022-02-22 16:00:00,0.2774
2022-02-22 17:00:00,0.2756
2022-02-22 18:00:00,0.2737
2022-02-22 19:00:00,0.2718
2022-02-22 20:00:00,0.2702
2022-02-22 21:00:00,0.2686
2022-02-22 22:00:00,0.2673
2022-02-22 23:00:00,0.266
2022-02-23 00:00:00,0.2648
2022-02-23 01:00:00,0.2637
2022-02-23 02:00:00,0.2628
2022-02-23 03:00:00,0.2618
2022-02-23 04:00:00,0.261
2022-02-23 05:00:00,0.2601
2022-02-23 06:00:00,0.2593
2022-02-23 07:00:00,0.2585
2022-02-23 08:00:00,0.2577
2022-02-23 09:00:00,0.2572
2022-02-23 10:00:00,0.2583
2022-02-23 11:00:00,0.2985
2022-02-23 12:00:00,0.2922
2022-02-23 13:00:00,0.3112
2022-02-23 14:00:00,0.3104
2022-02-23 15:00:00,0.3029
2022-02-23 16:00:00,0.2951
2022-02-23 17:00:00,0.293
2022-02-23 18:00:00,0.295
2022-02-23 19:00:00,0.2905
2022-02-23 20:00:00,0.2875
2022-02-23 21:00:00,0.285
2022-02-23 22:00:00,0.2828
2022-02-23 23:00:00,0.2809
2022-02-24 00:00:00,0.2793
2022-02-24 01:00:00,0.2778
2022-02-24 02:00:00,0.2766
2022-02-24 03:00:00,0.2754
2022-02-24 04:00:00,0.2744
2022-02-24 05:00:00,0.2734
2022-02-24 06:00:00,0.2726
2022-02-24 07:00:00,0.2717
2022-02-24 08:00:00,0.271
2022-02-24 09:00:00,0.2703
2022-02-24 10:00:00,0.2696
2022-02-24 11:00:00,0.269
2022-02-24 12:00:00,0.2684
2022-02-24 13:00:00,0.2677
2022-02-24 14:00:00,0.2672
2022-02-24 15:00:00,0.2666
2022-02-24 16:00:00,0.266
2022-02-24 17:00:00,0.2654
2022-02-24 18:00:00,0.2648
2022-02-24 19:00:00,0.2642
2022-02-24 20:00:00,0.2636
2022-02-24 21:00:00,0.263
2022-02-24 22:00:00,0.2625
2022-02-24 23:00:00,0.262
2022-02-25 00:00:00,0.2615
2022-02-25 01:00:00,0.261
2022-02-25 02:00:00,0.2606
2022-02-25 03:00:00,0.2601
2022-02-25 04:00:00,0.2597
2022-02-25 05:00:00,0.2593
2022-02-25 06:00:00,0.2588
2022-02-25 07:00:00,0.2584
2022-02-25 08:00:00,0.2581
2022-02-25 09:00:00,0.2577
2022-02-25 10:00:00,0.2575
2022-02-25 11:00:00,0.2572
2022-02-25 12:00:00,0.2569
2022-02-25 13:00:00,0.2567
2022-02-25 14:00:00,0.2564
2022-02-25 15:00:00,0.2562
2022-02-25 16:00:00,0.2559
2022-02-25 17:00:00,0.2556
2022-02-25 18:00:00,0.2552
2022-02-25 19:00:00,0.2547
2022-02-25 20:00:00,0.2542
2022-02-25 21:00:00,0.2537
2022-02-25 22:00:00,0.2532
2022-02-25 23:00:00,0.2527
2022-02-26 00:00:00,0.2523
2022-02-26 01:00:00,0.2518
2022-02-26 02:00:00,0.2514
2022-02-26 03:00:00,0.2511
2022-02-26 04:00:00,0.2507
2022-02-26 05:00:00,0.2504
2022-02-26 06:00:00,0.2501
2022-02-26 07:00:00,0.2498
2022-02-26 08:00:00,0.2495
2022-02-26 09:00:00,0.2493
